method,scenario,simulation,speed,runs,mean_error,std_error,mean_search_time,std_search_time
PMFS,House28,"5,7-2,3_fast",fast,5,0.814441,0.121348,97.610105,3.233477
PMFS,House28,"5,7-2,3_slow",slow,5,1.111832,0.257448,118.456408,8.171314
PMFS,House28,"8-1,3_fast",fast,5,0.583070,0.027105,82.789041,2.406762
PMFS,House28,"8-1,3_slow",slow,5,0.645310,0.046445,101.829292,7.865721
PMFS,House29,1-3_fast,fast,5,0.656932,0.029378,85.438261,3.926284
PMFS,House29,1-3_slow,slow,5,0.888148,0.197173,103.679131,5.989927
PMFS,House29,3-1_fast,fast,5,0.785477,0.079200,85.294503,3.022297
PMFS,House29,3-1_slow,slow,5,0.900626,0.218150,91.341477,4.116205
PMFS,House30,"1,8-5_fast",fast,5,0.956791,0.145444,81.386897,2.673403
PMFS,House30,"1,8-5_slow",slow,5,1.751389,0.165144,105.888692,7.285191
PMFS,House30,"7,8-3,4_fast",fast,5,1.116908,0.178667,80.357692,1.707567
PMFS,House30,"7,8-3,4_slow",slow,5,0.951685,0.219795,80.549436,1.248424
Particle Filter,House01,"1,3-2,4_fast",fast,5,5.133363,0.739670,81.298797,7.679740
Particle Filter,House01,"1,3-2,4_slow",slow,5,1.044937,0.015635,57.768357,1.521542
Particle Filter,House01,"2,4-1_fast",fast,5,1.086612,0.051759,82.858519,6.818804
Particle Filter,House01,"2,4-1_slow",slow,5,1.796140,0.118183,59.680520,1.893411
Particle Filter,House02,"3,5-1_fast",fast,5,1.081182,0.049846,172.252809,17.703258
Particle Filter,House02,"3,5-1_slow",slow,5,1.164656,0.036074,65.850091,2.495507
Particle Filter,House02,"4,5-3_fast",fast,5,1.092609,0.036390,57.836354,1.611938
Particle Filter,House02,"4,5-3_slow",slow,5,1.039284,0.022966,58.477648,1.470904
Particle Filter,House03,"1-2,5_fast",fast,5,3.096037,0.472348,56.403983,0.803804
Particle Filter,House03,"1-2,5_slow",slow,5,4.316403,0.224778,62.062393,1.713711
Particle Filter,House03,5-3_fast,fast,5,1.128697,0.055391,351.596193,35.420573
Particle Filter,House03,5-3_slow,slow,5,1.168227,0.035680,353.409985,63.182207
Particle Filter,House04,"5,7-1,2_fast",fast,5,1.058824,0.029438,277.079342,20.037359
Particle Filter,House04,"5,7-1,2_slow",slow,5,1.642531,0.191167,162.263503,16.788607
Particle Filter,House04,"7-3,8_fast",fast,5,1.139667,0.047048,61.576242,0.646694
Particle Filter,House04,"7-3,8_slow",slow,5,1.122655,0.048249,58.816384,1.629719
Particle Filter,House05,"4,8-5_fast",fast,5,1.074252,0.043919,71.516760,3.653589
Particle Filter,House05,"4,8-5_slow",slow,5,1.066282,0.027176,59.614397,1.976484
Particle Filter,House05,"7-1,2_fast",fast,5,1.133815,0.044875,84.536520,4.818180
Particle Filter,House05,"7-1,2_slow",slow,5,1.131331,0.051717,57.950185,1.764653
Particle Filter,House06,"1,2-5_fast",fast,5,2.397126,0.275269,67.738079,1.845168
Particle Filter,House06,"1,2-5_slow",slow,5,3.493710,0.466133,90.470160,8.094645
Particle Filter,House06,"1-4,5_fast",fast,5,2.038213,0.233840,67.468425,3.731936
Particle Filter,House06,"1-4,5_slow",slow,5,2.370832,0.443938,81.980254,8.399750
Particle Filter,House07,"1,3-5_fast",fast,5,1.175379,0.024103,166.277986,17.371904
Particle Filter,House07,"1,3-5_slow",slow,5,1.612744,0.183945,57.813641,1.583447
Particle Filter,House07,6-1_fast,fast,5,1.042309,0.022941,80.919507,7.366806
Particle Filter,House07,6-1_slow,slow,5,3.484916,0.287387,103.069628,14.948391
Particle Filter,House08,"1,3-7_fast",fast,5,1.168499,0.025702,242.668599,15.855480
Particle Filter,House08,"1,3-7_slow",slow,5,1.250801,0.053861,66.679497,1.349451
Particle Filter,House08,"8,7-6_fast",fast,5,1.050264,0.026264,195.281860,28.782559
Particle Filter,House08,"8,7-6_slow",slow,5,1.129756,0.058170,191.832427,22.183517
Particle Filter,House09,"6-2,5_fast",fast,5,1.073907,0.041908,279.971384,18.707761
Particle Filter,House09,"6-2,5_slow",slow,5,1.122262,0.045881,63.172404,1.228185
Particle Filter,House09,"6-7,3_fast",fast,5,1.135531,0.020611,343.939143,95.718198
Particle Filter,House09,"6-7,3_slow",slow,5,1.079307,0.038354,58.742547,1.275053
Particle Filter,House10,"1-3,2_fast",fast,5,1.418916,0.138389,113.184624,17.739917
Particle Filter,House10,"1-3,2_slow",slow,5,1.760936,0.209365,146.286126,8.619581
Particle Filter,House10,"2,3-1_fast",fast,5,1.139616,0.039736,218.897139,29.060821
Particle Filter,House10,"2,3-1_slow",slow,5,1.896203,0.241761,148.623260,7.965534
Particle Filter,House11,"1-2,3_fast",fast,5,1.398739,0.091790,86.975788,13.557336
Particle Filter,House11,"1-2,3_slow",slow,5,1.437451,0.081616,126.597796,12.856397
Particle Filter,House11,3-2_fast,fast,5,1.439875,0.176646,122.754260,11.506911
Particle Filter,House11,3-2_slow,slow,5,2.351781,0.263858,200.595574,22.879684
Particle Filter,House12,"4,6-1_fast",fast,5,1.606406,0.193416,84.092904,10.081475
Particle Filter,House12,"4,6-1_slow",slow,5,1.348252,0.083564,90.242532,10.489843
Particle Filter,House12,"6,7-1_fast",fast,5,1.420350,0.134458,92.218027,10.617505
Particle Filter,House12,"6,7-1_slow",slow,5,2.413891,0.362287,167.372870,10.772086
Particle Filter,House13,"1,3-6_fast",fast,5,1.981972,0.301150,78.324285,7.668446
Particle Filter,House13,"1,3-6_slow",slow,5,1.909383,0.125507,103.453467,15.037729
Particle Filter,House13,"2,3-4,6_fast",fast,5,1.664513,0.236441,76.566956,3.366229
Particle Filter,House13,"2,3-4,6_slow",slow,5,2.189742,0.246807,95.757881,12.749176
Particle Filter,House14,"1,2-4,5_fast",fast,5,2.253989,0.300546,76.167673,4.256006
Particle Filter,House14,"1,2-4,5_slow",slow,5,2.710884,0.434249,80.138114,6.185988
Particle Filter,House14,"3,4-2,6_fast",fast,5,2.141930,0.429548,65.619749,2.309960
Particle Filter,House14,"3,4-2,6_slow",slow,5,2.785502,0.257744,103.969869,16.812428
Particle Filter,House15,"1,2-3,4_fast",fast,5,2.733589,0.440889,78.001034,4.578821
Particle Filter,House15,"1,2-3,4_slow",slow,5,3.618364,0.258313,101.548525,16.615687
Particle Filter,House15,"3-1,2_fast",fast,5,1.762716,0.226733,62.404686,0.956082
Particle Filter,House15,"3-1,2_slow",slow,5,2.139991,0.279179,81.945898,10.919234
Particle Filter,House16,"1,2-4,5,6_fast",fast,5,2.090123,0.151019,76.934944,6.144807
Particle Filter,House16,"1,2-4,5,6_slow",slow,5,3.042522,0.495449,110.989160,13.181644
Particle Filter,House16,"3,4,5-2_fast",fast,5,1.643813,0.226939,65.676214,1.552031
Particle Filter,House16,"3,4,5-2_slow",slow,5,1.687719,0.161548,80.019256,8.970490
Particle Filter,House17,"3,6-1_fast",fast,5,1.457078,0.143658,89.551793,9.957420
Particle Filter,House17,"3,6-1_slow",slow,5,1.742981,0.232373,148.118165,16.683952
Particle Filter,House17,"4,6-1,2_fast",fast,5,1.540259,0.110880,92.892632,10.201394
Particle Filter,House17,"4,6-1,2_slow",slow,5,1.661003,0.146403,104.078160,17.426975
Particle Filter,House18,"1,2-4,5_fast",fast,5,1.258007,0.043953,119.689324,8.246943
Particle Filter,House18,"1,2-4,5_slow",slow,5,1.639582,0.200848,233.156256,20.669050
Particle Filter,House18,"5,3-1_fast",fast,5,1.391416,0.054281,140.637175,15.636265
Particle Filter,House18,"5,3-1_slow",slow,5,1.355638,0.109592,137.417689,10.897419
